Player,Squad,Pos,PosAdj,Rol_Ideal,Rating_Final,R_FW_ST,R_FW_WG,R_FW_SS,R_DC,R_LB_OFF
Ethan Ampadu,Sheffield Utd,DFMF,DM,DC,70.37500000000001,24.22,24.984499999999997,27.219,70.37500000000001,48.605
João Moutinho,Wolves,MF,MF,MC_EST,70.31,44.055000000000014,46.6735,55.98600000000001,62.894999999999996,71.97249999999998
Jonny Evans,Leicester City,DF,DF,DC,70.085,61.67249999999999,48.31749999999999,50.614000000000004,70.085,51.48749999999999
Son Heung-min,Tottenham,FW,FW,FW_SS,69.82600000000001,59.05500000000001,61.937,69.82600000000001,49.035,71.24
Joachim Andersen,Fulham,DF,DF,DC,69.495,52.3275,46.52000000000001,52.13500000000001,69.495,60.5475
Christian Pulisic,Chelsea,FWMF,AM,FW_SS,69.347,75.225,66.85750000000002,69.347,39.56999999999999,53.01499999999999
Oriol Romeu,Southampton,MF,MF,MC_DEF,69.31500000000001,41.59,39.73049999999999,44.19300000000001,61.15499999999999,56.71249999999999
Ademola Lookman,Fulham,FWMF,AM,AM,69.30250000000001,57.730000000000004,57.557500000000005,63.28200000000001,40.12000000000001,60.272499999999994
Filip Krovinović,West Brom,MF,MF,MC_EST,69.19,38.77,50.585499999999996,57.625,42.385000000000005,58.205
Stuart Armstrong,Southampton,MF,MF,AM,68.68999999999998,70.02,68.2745,69.94100000000002,22.055,57.805
John McGinn,Aston Villa,MF,MF,AM,68.62500000000001,63.98499999999999,64.0475,68.77799999999999,35.205,63.474999999999994
Harry Maguire,Manchester Utd,DF,DF,DC,68.54500000000002,70.57249999999999,55.501999999999995,59.614,68.54500000000002,64.5925
Solly March,Brighton,DFMF,DM,LB_OFF,68.52499999999999,79.4625,72.27099999999999,77.87000000000002,38.01,68.52499999999999
Anwar El Ghazi,Aston Villa,FW,FW,FW_SS,68.50600000000001,59.73750000000002,62.12599999999998,68.50600000000001,57.38999999999999,74.145
Pedro Neto,Wolves,FWMF,AM,AM,68.2725,62.934999999999995,66.5935,68.26,45.415,61.6475
Ricardo Pereira,Leicester City,DFFW,DF,LB_OFF,68.1425,62.05,70.91550000000001,77.239,30.790000000000003,68.1425
Yves Bissouma,Brighton,MF,MF,MC_DEF,68.0,32.17,36.18,34.74,75.39499999999998,49.855000000000004
Bernardo Silva,Manchester City,MFFW,AM,AM,67.7075,55.54750000000001,58.639500000000005,64.79700000000001,55.230000000000004,63.7025
Ashley Westwood,Burnley,MF,MF,AM,67.5925,48.11999999999999,46.6065,56.917,38.13,63.87499999999999
Kyle Walker,Manchester City,DF,DF,LB_OFF,67.445,51.607499999999995,62.085,66.79700000000001,42.105,67.445
Pascal Groß,Brighton,MFDF,DM,LB_OFF,67.40749999999998,81.75,69.13049999999998,83.863,28.13,67.40749999999998
