Temporada,Jugador,Destino,RTG,SVD (€M),Costo Real (€M),Desviación %,Clasificación
2019,Hernani,Parma,72.0,24.6,6.5,280.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Zouhair Feddal,Sporting,72.0,20.9,4.2,397.1,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Nicolò Barella,Inter,71.9,23.1,32.5,-28.8,🟠 Ligero Sobreprecio
2019,Matt Doherty,Tottenham,71.5,28.5,16.8,69.9,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Maxime Gonalons,Granada CF,71.4,20.5,4.0,412.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Mario Pašalić,Atalanta,71.3,23.3,14.5,60.4,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Ben Chilwell,Chelsea,71.3,25.9,50.2,-48.4,🔴 Categoría C: Riesgo de Sobreprecio (Burbuja)
2019,Karol Linetty,Torino,70.3,20.1,7.5,168.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Jemerson,Corinthians,70.3,14.8,0.7,2079.4,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Edmond Tapsoba,Leverkusen,70.2,16.9,20.2,-16.2,🟠 Ligero Sobreprecio
2019,Aleksandar Kolarov,Inter,70.1,21.4,1.5,1324.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2019,Kevin Volland,Monaco,69.5,20.9,11.0,89.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Jadon Sancho,Man Utd,93.2,121.7,85.0,43.1,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Jack Grealish,Man City,91.8,129.8,117.5,10.4,🟢 Categoría A: Tasación de Precisión
2020,Boubakary Soumaré,Leicester,90.5,76.8,20.0,284.1,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Rodrigo De Paul,Atlético,88.6,103.9,35.0,196.9,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Romelu Lukaku,Chelsea,87.6,93.5,113.0,-17.3,🟠 Ligero Sobreprecio
2020,Loïc Bade,Stade Rennais,87.6,68.2,17.0,301.3,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Wendell,Porto,86.1,61.5,4.3,1329.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Yacine Adli,AC Milan,82.6,47.5,9.0,428.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Dayot Upamecano,Bayern Munich,82.5,53.9,42.5,26.7,🔵 Negocio Favorable (Leve Gema)
2020,Pape Matar Sarr,Tottenham,81.3,38.7,16.9,129.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Maxwel Cornet,Burnley,80.9,41.5,15.0,176.4,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Andy Delort,Nice,80.4,45.0,10.0,349.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,André Silva,Leipzig,79.8,52.2,23.0,127.2,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Angeliño,Leipzig,79.7,42.8,18.0,137.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,James Rodríguez,Al-Rayyan,79.4,51.2,8.0,539.6,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Antonio Candreva,Sampdoria,79.2,48.5,2.5,1839.2,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Cristiano Ronaldo,Man Utd,78.8,44.1,17.0,159.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Danilo Pereira,PSG,78.7,31.1,16.0,94.1,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Nicolò Rovella,Juventus,78.4,34.4,26.0,32.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Leon Bailey,Aston Villa,78.3,43.0,32.0,34.4,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Kurt Zouma,West Ham,78.1,42.7,35.0,22.0,🔵 Negocio Favorable (Leve Gema)
2020,Pierre Lees-Melou,Norwich,78.0,32.3,3.9,728.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Sacha Boey,Galatasaray,78.0,30.7,5.7,443.4,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Roger Ibanez,Roma,77.9,38.6,11.8,227.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Thomas Delaney,Sevilla FC,76.7,30.6,6.0,410.2,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Joachim Andersen,Crystal Palace,76.5,41.4,17.5,136.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Eduardo Camavinga,Real Madrid,76.4,29.8,31.0,-3.9,🟢 Categoría A: Tasación de Precisión
2020,Hiroki Sakai,Urawa Reds,76.4,29.1,1.5,1840.7,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Lilian Brassier,Stade Brestois,75.9,16.0,1.8,812.6,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Marcel Sabitzer,Bayern Munich,75.6,31.2,15.0,108.1,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Jannik Vestergaard,Leicester,74.6,35.0,17.6,99.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Cristian Romero,Atalanta,74.5,30.1,17.0,77.2,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Jean-Clair Todibo,Nice,74.2,21.1,16.5,27.6,🔵 Negocio Favorable (Leve Gema)
2020,Léo Sena,Spezia Calcio,74.1,16.6,1.2,1224.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Mario Lemina,Nice,74.1,30.4,5.5,452.5,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Iván Marcone,Elche CF,74.0,29.9,4.0,646.8,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Yvan Neyou,Saint-Étienne,73.6,24.0,1.0,2296.0,💎 Categoría B: Ineficiencia Explotada (Gema)
2020,Raphaël Varane,Man Utd,72.8,26.7,40.0,-33.1,🟠 Ligero Sobreprecio
2020,Robert Andrich,Leverkusen,72.8,26.6,6.5,308.6,💎 Categoría B: Ineficiencia Explotada (Gema)
