Szn	Player	Nation	Pos	PosAdj	Squad	League	Age																																																																																														RTG_Principal	Valor_Deportivo	Precio_Mercado	Rol_Principal	Rol_1	Rol_2	Rol_3	RTG_1	RTG_2	RTG_3
2020	Jordan Henderson	ENG	MFDF	DM	Liverpool	Premier League	30																																																																																														76.6661740067237	180250000	144070000	MC_ORG	MC_ORG	MC_DEF	LB_DEF	76.6661740067237	71.6530300095172	67.7539667064203
2020	Fred	BRA	MF	MF	Manchester Utd	Premier League	27																																																																																														75.970606477646	175390000	231390000	MC_ORG	MC_ORG	MC_DEF	MC_EST	75.970606477646	75.1881689543839	60.3613879613215
2020	Fernandinho	BRA	MF	MF	Manchester City	Premier League	35																																																																																														75.5971392477351	172810000	111740000	MC_ORG	MC_ORG	MC_DEF	MC_EST	75.5971392477351	72.5998266199572	61.7505639378196
2020	İlkay Gündoğan	GER	MF	MF	Manchester City	Premier League	29																																																																																														75.4872255019226	172060000	313350000	AM	AM	MC_ORG	MC_EST	75.4872255019226	68.8546061118928	66.9068540665544
2020	Wilfred Ndidi	NGA	MFDF	DM	Leicester City	Premier League	23																																																																																														75.3658919320735	171230000	182900000	MC_DEF	MC_DEF	DC	MC_ORG	75.3658919320735	66.2045595687144	53.5155140491204
2020	Riyad Mahrez	ALG	FW	FW	Manchester City	Premier League	29																																																																																														75.279745435371	170650000	307300000	FW_SS	FW_SS	FW_WG	FW_ST	75.279745435371	72.4104308731641	70.0336071550846
2020	Ross Barkley	ENG	MF	MF	Aston Villa	Premier League	26																																																																																														75.0022572216586	168770000	238310000	AM	AM	MC_ORG	MC_EST	75.0022572216586	50.8767178201857	49.2213939067811
2020	Diogo Jota	POR	FW	FW	Liverpool	Premier League	23																																																																																														74.8139736796232	167500000	277050000	FW_ST	FW_ST	FW_SS	FW_WG	74.8139736796232	63.9710130943643	62.8191772474101
2020	Wesley Fofana	FRA	DF	DF	Leicester City	Premier League	19																																																																																														74.810234841445	167470000	188950000	DC	DC			74.810234841445		
2020	N'Golo Kanté	FRA	MF	MF	Chelsea	Premier League	29					

																																																																																									74.7797486031118	167270000	213520000	MC_DEF	MC_DEF	MC_ORG	MC_EST	74.7797486031118	60.369930827063	51.3587725683407
